text,audio,speaker,output_checkpoint-309,output_checkpoint-1854,output_checkpoint-2781,output_checkpoint-927,output_checkpoint-1236,output_checkpoint-2472,output_checkpoint-2163,output_checkpoint-1545,output_checkpoint-3090,output_checkpoint-618,openai_whisper-large-v3
Šesti planet je biv deset put veći. Na njin je bivav niki stari čovik ki je pisav vele knjige.,data/test/MP_15_60.527-67.71.mp3,Autor, Šesti planet je biv deset put veći. Na njin je bivav niki stari čovik ki je pisav vele knjige. , Šesti planet je biv deset put veći. Na njin je bivav niki stari čovik ki je pisav vele knjige., Šesti planet je biv deset put veći. Na njin je bivav niki stari čovik ki je pisav vele knjige., Šesti planet je biv deset put veći. Na njin je bivav niki stari čovik ki je pisav vele knjige., Šesti planet je biv deset put veći. Na njin je bivav niki stari čovik ki je pisav vele knjige., Šesti planet je biv deset put veći. Na njin je bivav niki stari čovik ki je pisav vele knjige., Šesti planet je biv deset put veći. Na njin je bivav niki stari čovik ki je pisav vele knjige., Šesti planet je biv deset put veći. Na njin je bivav niki stari čovik ki je pisav vele knjige., Šesti planet je biv deset put veći. Na njin je bivav niki stari čovik ki je pisav vele knjige., Šesti planet je biv deset put veći. Na njin je bivav niki stari čovik ki je pisav vele knjige.," Šesti planet je bio deset puta veći. Na njih je bivao neki stari čovjek, koji je pisao veličine knjige."
Oho! Evo meni jednoga istraživača!,data/test/MP_15_68.5-72.45.mp3,Geograf," Oho, evo meni jednoga istraživača!", „Oho! Evo meni jednoga istraživača!“,• Oho! Evo meni jednoga istraživača!• , „Oho! Evo meni jednoga istraživača!“, „Oho! Evo meni jednoga istraživača!“, „Oho! Evo meni jednoga istraživača!“, „Oho! Evo meni jednoga istraživača!“, „Oho! Evo meni jednoga istraživača!“,• Oho! Evo meni jednoga istraživača!• , „Oho! Evo meni jednoga istraživača!“," Oho, evo meni jednoga istraživača."
Mići Princ side na stov malo zapuhan. Biv je prepasav već tulik put!,data/test/MP_15_72.88-77.94.mp3,Autor, Mići Princ side na stov malo zapuhan. Biv je prepasav već tulik put!, Mići Princ side na stov malo zapuhan. Biv je prepasav već tuliki put!, Mići Princ side na stov malo zapuhan. Biv je prepasav već tuliki put!, Mići Princ side na stov malo zapuhan. Biv je prepasav već tuliki put!, Mići Princ side na stov malo zapuhan. Biv je prepasav već tuliki put!, Mići Princ side na stov malo zapuhan. Biv je prepasav već tuliki put!, Mići Princ side na stov malo zapuhan. Biv je prepasav već tuliki put!, Mići Princ side na stov malo zapuhan. Biv je prepasav već tuliki put!, Mići Princ side na stov malo zapuhan. Biv je prepasav već tuliki put!, Mići Princ side na stov malo zapuhan. Biv je prepasav već tuliki put!," Mići princ sile na slov, malo zapuhan. Biv je prepasav već toliki put."
A odokli si ti?,data/test/MP_15_78.52-80.32.mp3,Geograf, „A odokle si ti?“.,• A odokle si ti?,• A odokle si ti?,• A odokle si ti?,• A odokle si ti?,• A odokle si ti?,• A odokle si ti?,• A odokle si ti?,• A odokle si ti?,• A odokle si ti?• , A o doklišti?
Kakova je to debela knjiga? Ča vi ovdi dilate?,data/test/MP_15_80.52-84.36.mp3,Mići Princ,• Kakova je to debela knjiga? Ča vi ovdi dilate?• ,• Kakova je to debela knjiga? Ča vi ovdi dilate?• ,• Kakova je to debela knjiga? Ča vi ovdi dilate?• ,• Kakova je to debela knjiga? Ča vi ovdi dilate?• ,• Kakova je to debela knjiga? Ča vi ovdi dilate?• ,• Kakova je to debela knjiga? Ča vi ovdi dilate?• ,• Kakova je to debela knjiga? Ča vi ovdi dilate?• ,• Kakova je to debela knjiga? Ča vi ovdi dilate?• ,• Kakova je to debela knjiga? Ča vi ovdi dilate?• ,• Kakova je to debela knjiga? Ča vi ovdi dilate?• , Kakova je to debela knjiga? Ča vi ovdje dilate?
Ja san ti geograf.,data/test/MP_15_84.61-86.6.mp3,Geograf, Ja san ti geograf., „Jast san ti geograf.“ „, „Jast san ti geograf.“ „, „Ja san ti geograf.“ „, „Ja san ti geograf.“ „, „Jast san ti geograf.“ „, „Jast san ti geograf.“ „, „Jast san ti geograf.“ „, „Jast san ti geograf.“ „, „Ja san ti geograf.“ „, Ja sam ti geograf.
Ča je to geograf?,data/test/MP_15_86.81-87.96.mp3,Mići Princ, Ča je to geograf?, Ča je to geograf?• , Ča je to geograf?• , Ča je to geograf?• , Ča je to geograf?• , Ča je to geograf?• , Ča je to geograf?• , Ča je to geograf?• , Ča je to geograf?• , Ča je to geograf?• , Če je to geograf?
"To je učeni čovik ki zna kadi su mora, rike, veli gradi, planine i pustinje.",data/test/MP_15_88.31-96.91.mp3,Geograf," To je učeni čovik ki zna kadi su mora, rike, veli gradi, planine i pustinje."," „To je učeni čovik ki zna kadi su mora, rike, veli gradi, planine i pustinje.“."," „To je učeni čovik ki zna kadi su mora, rike, veli gradi, planine i pustinje.“."," „To je učeni čovik ki zna kadi su mora, rike, veli gradi, planine i pustinje.“."," „To je učeni čovik ki zna kadi su mora, rike, veli gradi, planine i pustinje.“."," „To je učeni čovik ki zna kadi su mora, rike, veli gradi, planine i pustinje.“."," „To je učeni čovik ki zna kadi su mora, rike, veli gradi, planine i pustinje.“."," „To je učeni čovik ki zna kadi su mora, rike, veli gradi, planine i pustinje.“."," „To je učeni čovik ki zna kadi su mora, rike, veli gradi, planine i pustinje.“."," „To je učeni čovik ki zna kadi su mora, rike, veli gradi, planine i pustinje.“."," To je učeni čovjek ki znaka gdje su mora, rike, veligradi, planine i pustinje."
"To je zanimjivo. Viš, na kraju jeniga od praviga zanimanja!",data/test/MP_15_97.59-101.61.mp3,Mići Princ," „To je zanimjivo. Viš, na kraju jedniga od praviga zanimanja.“",• To je zanimjivo. Viš na kraju jeniga od praviga zanimanja!• ,• To je zanimjivo. Viš na kraju jeniga od praviga zanimanja!• ," „To je zanimjivo. Viš, na kraju jeniga od praviga zanimanja!“","• To je zanimjivo. Viš, na kraju jeniga od praviga zanimanja!• ",• To je zanimjivo. Viš na kraju jeniga od praviga zanimanja!• ,• To je zanimjivo. Viš na kraju jeniga od praviga zanimanja!• ,• To je zanimjivo. Viš na kraju jeniga od praviga zanimanja!• ,• To je zanimjivo. Viš na kraju jeniga od praviga zanimanja!• ," „To je zanimjivo. Viš, na kraju jeniga od praviga zanimanja!“", To je zanimivo. Viš na kraju jedniga od pravih zanimanja.
I obazre se malo okoli sebe po geografovin planetu. Nigdar ni još videv takov veličanstven planet.,data/test/MP_15_102.12-108.81.mp3,Autor, I obazre se malo okoli sebe po geograf ovin planetu. Nigdar ni još videv takov veličanstven planet! , I obazre se malo okoli sebe po geografovin planetu. Nigdar ni još videv takov veličanstven planet!, I obazre se malo okoli sebe po geografovin planetu. Nigdar ni još videv takov veličanstven planet!, I obazre se malo okoli sebe po geografovin planetu. Nigdar ni još videv takov veličanstven planet!, I obazre se malo okoli sebe po geografovin planetu. Nigdar ni još videv takov veličanstven planet!, I obazre se malo okoli sebe po geografovin planetu. Nigdar ni još videv takov veličanstven planet!, I obazre se malo okoli sebe po geografovin planetu. Nigdar ni još videv takov veličanstven planet!, I obazre se malo okoli sebe po geografovin planetu. Nigdar ni još videv takov veličanstven planet!, I obazre se malo okoli sebe po geografovin planetu. Nigdar ni još videv takov veličanstven planet!, I obazre se malo okoli sebe po geografovin planetu. Nigdar ni još videv takov veličanstven planet!, i obadra se malo okoli sebe po geografovim planetu. Nikdar nije još vidio tako veličanski planet.
